graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG3,low_job_connectivity,26,3,False,3,0.4227691805477132,0.09494410304872263,0.14375000000000002,0.14375000000000002,0.14375000000000002,0.18072896286338525
DLG3,completeness,26,3,False,3,0.4805758477633478,0.07596688034188034,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.1117361111111111
DLG3,rule_root,26,3,False,3,0.6266652354288224,0.15786134004884003,0.07083333333333333,0.07083333333333333,0.07083333333333333,0.26279380341880343
DLG3,RandomForest,26,3,False,3,0.6137007693393564,0.35201829420579417,0.24166666666666667,0.24166666666666667,0.24166666666666667,0.09425960126922121
DLG3,RUSBoost,26,3,False,3,0.6083396072526508,0.17629807692307695,0.24375,0.24375,0.24375,0.11723610160484921
DLG3,LightGBM,26,3,False,3,0.6210263543823326,0.36529460296904603,0.2791666666666667,0.2791666666666667,0.2791666666666667,0.18184782188398682
DLG3,LineageDetector,26,3,False,3,0.6234366667450907,0.40445945441011233,0.29375,0.29375,0.29375,0.07191157545242553
DLG4,degree_anomaly,16,1,False,3,0.3403708133971292,0.09503022230294957,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.06600121747843533
DLG4,boundary,16,1,False,3,0.398225677830941,0.06513511740784468,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.846880281038035
DLG4,low_job_connectivity,16,1,False,3,0.1526216108452951,0.06148325358851676,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.24373490925295743
DLG4,completeness,16,1,False,3,0.6206439393939394,0.40831394541287586,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.0787232765006829
DLG4,rule_root,16,1,False,3,0.5304326156299841,0.0886973246598915,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.495235490890571
DLG4,RandomForest,16,1,False,3,0.6699960127591706,0.4663078454522305,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.082730494975487
DLG4,RUSBoost,16,1,False,3,0.865749601275917,0.41925943931291526,0.4696969696969697,0.4696969696969697,0.4696969696969697,0.061423299394146175
DLG4,LightGBM,16,1,False,3,0.48357256778309404,0.1957644628099173,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16082851708604295
DLG4,LineageDetector,16,1,False,3,0.8227870813397129,0.5249114521841795,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.056546505738077735
DLG5,degree_anomaly,66,9,True,3,0.3212358366154542,0.08122529986375988,0.06742857142857142,0.06742857142857142,0.06742857142857142,0.038206886618248205
DLG5,boundary,66,9,True,3,0.4348781413231041,0.035689417310736944,0.0,0.0,0.0,0.8105391077399886
DLG5,low_job_connectivity,66,9,True,3,0.1892675360183215,0.03236931346473018,0.004,0.004,0.004,0.18476654144411522
DLG5,completeness,66,9,True,3,0.470937857252068,0.07645499482574353,0.06133333333333333,0.06133333333333333,0.06133333333333333,0.049896689452719654
DLG5,rule_root,66,9,True,3,0.5926336207564508,0.057941900224911407,0.27504761904761904,0.27504761904761904,0.27504761904761904,0.3817312520282914
DLG5,RandomForest,66,9,True,3,0.7608642643236123,0.263714527369058,0.22990476190476195,0.22990476190476195,0.22990476190476195,0.08119187371005593
DLG5,RUSBoost,66,9,True,3,0.7469055578271625,0.09534600324514429,0.18825396825396826,0.18825396825396826,0.18825396825396826,0.14520412913866884
DLG5,LightGBM,66,9,True,3,0.7345799988612001,0.33173477780118077,0.29257142857142854,0.29257142857142854,0.29257142857142854,0.16075833324196395
DLG5,LineageDetector,66,9,True,3,0.8262477828883574,0.2657914276683012,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.05396966721748683
DLG6,degree_anomaly,568,82,True,3,0.3904296091569599,0.009833840250382253,0.0,0.0,0.0,0.009872219549718812
DLG6,boundary,568,82,True,3,0.4604300712752316,0.0052683635270515386,0.0,0.0,0.0,0.7322794754712563
DLG6,low_job_connectivity,568,82,True,3,0.2869656323053929,0.004698449186632583,0.0,0.0,0.0,0.15973578414036477
DLG6,completeness,568,82,True,3,0.5777701298859386,0.017642813334406517,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.051754421328894004
DLG6,rule_root,568,82,True,3,0.5051182728584891,0.006755587120616007,0.0,0.0,0.0,0.46839046950005847
DLG6,RandomForest,568,82,True,3,0.7547333855710218,0.09912145030356317,0.07090909090909091,0.07090909090909091,0.07090909090909091,0.05879702676460316
DLG6,RUSBoost,568,82,True,3,0.6518064814450389,0.014740891959579554,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.1048747980274276
DLG6,LightGBM,568,82,True,3,0.7221227613288086,0.07168210424138567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.10841403324301499
DLG6,LineageDetector,568,82,True,3,0.782426003985697,0.10130897644092253,0.07428571428571429,0.07428571428571429,0.07428571428571429,0.03768647185443311
