graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG15,pelny,25,2,False,3,0.77,0.5116161616161615,0.6,0.6,0.6,0.0857936795016121
DLG15,bez_kalibracji,25,2,False,3,0.745,0.4355555555555556,0.4,0.4,0.4,0.10018433923314889
DLG15,bez_kompletnosci,25,2,False,3,0.555,0.2963702963702964,0.4,0.4,0.4,0.09834606513192512
DLG15,bez_obu,25,2,False,3,0.56,0.2559110823816706,0.2,0.2,0.2,0.1346795421541124
DLG16,pelny,246,44,True,3,0.8184439973172367,0.5183103127604719,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.10492773689642955
DLG16,bez_kalibracji,246,44,True,3,0.8331321260898725,0.5921005955584145,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.08615643508010866
DLG16,bez_kompletnosci,246,44,True,3,0.817102615694165,0.5532028166418482,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.10080123013163766
DLG16,bez_obu,246,44,True,3,0.8367538564721663,0.6093357937102083,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.0851831396351868
DLG17,pelny,24,2,False,3,0.9565217391304348,0.5,0.25,0.25,0.25,0.04586554830112246
DLG17,bez_kalibracji,24,2,False,3,0.8260869565217391,0.20436507936507936,0.0,0.0,0.0,0.055270496770848256
DLG17,bez_kompletnosci,24,2,False,3,0.9565217391304347,0.5,0.0,0.0,0.0,0.05202013501138253
DLG17,bez_obu,24,2,False,3,0.7391304347826088,0.20555555555555557,0.0,0.0,0.0,0.0840731728702175
DLG18,pelny,625,110,True,3,0.7327163151097718,0.44759537617666756,0.45614035087719296,0.45614035087719296,0.45614035087719296,0.12818830876588586
DLG18,bez_kalibracji,625,110,True,3,0.7535534040580905,0.4633997100981485,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.12172786453513595
DLG18,bez_kompletnosci,625,110,True,3,0.7477055531640119,0.44527639970159344,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.1304257589156064
DLG18,bez_obu,625,110,True,3,0.752182522600086,0.47809490652866066,0.45614035087719296,0.45614035087719296,0.45614035087719296,0.12413925521280439
