graph,algorithm,n_candidates,n_infected,external,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG18,completeness,643,238,False,True,15,0.5292221353611144,0.4045901971442144,0.40196202818188137,0.40196202818188137,0.40196202818188137,0.3380096131410136
DLG18,rule_root,643,238,False,True,15,0.6062386707870474,0.4289594883792198,0.4429455019182501,0.4429455019182501,0.4429455019182501,0.41930852972843635
DLG18,RandomForest,643,238,False,True,15,0.6781511629599104,0.6409356157039442,0.5342273653259506,0.5342273653259506,0.5342273653259506,0.22614034822071613
DLG18,RUSBoost,643,238,False,True,15,0.5942138717449104,0.45294131033436613,0.44042213475261216,0.44042213475261216,0.44042213475261216,0.2514333207174481
DLG18,LightGBM,643,238,False,True,15,0.6725904721623224,0.6447282229083767,0.5372691205843881,0.5372691205843881,0.5372691205843881,0.2683380330513644
DLG18,LineageDetector,643,238,False,True,15,0.6964215277986021,0.6517106705259111,0.5561076085106132,0.5561076085106132,0.5561076085106132,0.20184776302436822
DUT,degree_anomaly,21,6,True,True,15,0.8388972748862857,0.6531558185404338,0.6029609279609279,0.6029609279609279,0.6029609279609279,0.17269536019536025
DUT,boundary,21,6,True,True,15,0.8195718277449047,0.636080586080586,0.5867216117216117,0.5867216117216117,0.5867216117216117,0.5128205128205127
DUT,low_job_connectivity,21,6,True,True,15,0.8388972748862857,0.6531558185404338,0.6029609279609279,0.6029609279609279,0.6029609279609279,0.17185592185592186
DUT,completeness,21,6,True,True,15,0.5,0.3076923076923077,0.23724053724053729,0.23724053724053729,0.23724053724053729,0.3076923076923077
DUT,rule_root,21,6,True,True,15,0.7158055085939702,0.46810439560439565,0.5703907203907205,0.5703907203907205,0.5703907203907205,0.30402930402930395
DUT,RandomForest,21,6,True,True,15,0.7755991795140147,0.7064420122163036,0.596978021978022,0.596978021978022,0.596978021978022,0.17333801795445963
DUT,RUSBoost,21,6,True,True,15,0.6212401380670612,0.4738699753405636,0.4257326007326008,0.4257326007326008,0.4257326007326008,0.2148060778309782
DUT,LightGBM,21,6,True,True,15,0.7973293393623064,0.7394916910861181,0.6284493284493285,0.6284493284493285,0.6284493284493285,0.23948558014967875
DUT,LineageDetector,21,6,True,True,15,0.7731693647215624,0.7209572820804662,0.5962148962148963,0.5962148962148963,0.5962148962148963,0.14120645019547298
