graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG8,RUSBoost,19,2,False,3,0.625,0.40789473684210525,0.25,0.25,0.25,0.09593364091500292
DLG8,LightGBM,19,2,False,3,0.8235294117647058,0.625,0.5,0.5,0.5,0.15048668955881625
DLG8,LineageDetector,19,2,False,3,0.8529411764705882,0.6428571428571428,0.5,0.5,0.5,0.07940362054442743
DLG9,degree_anomaly,28,5,True,3,0.43913043478260866,0.1917989417989418,0.0,0.0,0.0,0.20135634861521706
DLG9,boundary,28,5,True,3,0.46212121212121204,0.5071428571428571,0.4,0.4,0.4,0.8571428571428571
DLG9,low_job_connectivity,28,5,True,3,0.481060606060606,0.49725274725274726,0.4,0.4,0.4,0.2117595966958212
DLG9,completeness,28,5,True,3,0.20454545454545453,0.21428571428571427,0.0,0.0,0.0,0.29464285714285715
DLG9,rule_root,28,5,True,3,0.3521739130434782,0.18207282913165268,0.0,0.0,0.0,0.6785714285714286
DLG9,RandomForest,28,5,True,3,0.6818181818181818,0.6833333333333333,0.4,0.4,0.4,0.1399223276916824
DLG9,RUSBoost,28,5,True,3,0.7,0.5071428571428571,0.4,0.4,0.4,0.09670850469069736
DLG9,LightGBM,28,5,True,3,0.803030303030303,0.6912087912087912,0.5,0.5,0.5,0.17578375593904325
DLG9,LineageDetector,28,5,True,3,0.8106060606060607,0.7392857142857143,0.5,0.5,0.5,0.09055847764033217
DLG10,degree_anomaly,215,44,True,3,0.458235294117647,0.19580618927824434,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.1912601308496253
DLG10,boundary,215,44,True,3,0.5836436995654872,0.30886014730063976,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.7674418604651163
DLG10,low_job_connectivity,215,44,True,3,0.4355990068280571,0.2871110037244529,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.21811098025054712
DLG10,completeness,215,44,True,3,0.42509803921568634,0.21016593717590396,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.22565618773846802
DLG10,rule_root,215,44,True,3,0.5859477124183007,0.24377410777815228,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.5255813953488372
DLG10,RandomForest,215,44,True,3,0.7623289287399717,0.6202482566415352,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.14751534931219656
DLG10,RUSBoost,215,44,True,3,0.5833333333333334,0.3062015503875969,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.13993169393712737
DLG10,LightGBM,215,44,True,3,0.7000653594771241,0.5000592579662694,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.15293304538760807
DLG10,LineageDetector,215,44,True,3,0.7809697970740916,0.6480568274405064,0.5,0.5,0.5,0.12708193476448057
DLG11,degree_anomaly,73,13,True,3,0.4125,0.18303772080068761,0.2,0.2,0.2,0.19178302279408724
DLG11,boundary,73,13,True,3,0.7454022988505749,0.6281913837601747,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8767123287671232
DLG11,low_job_connectivity,73,13,True,3,0.7241379310344827,0.6289605721594917,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2202015238172895
DLG11,completeness,73,13,True,3,0.49230769230769234,0.2054794520547945,0.5,0.5,0.5,0.2055493430248812
DLG11,rule_root,73,13,True,3,0.7178160919540231,0.3238884883441481,0.4375,0.4375,0.4375,0.3698630136986301
