graph,scenario,nodes,train_pos,val_pos,test_pos,algorithm,n_runs,reliable,auc_roc,auc_pr,hits_at_k,precision,recall,f1,threshold
DLG3,B,603,42,10,5,LightGBM,5,False,0.6386666666666666,0.2748218883513001,0.3333333333333333,0.20246913580246914,1.0,0.331219806763285,
DLG3,B,603,42,10,5,Node2Vec+MLP,5,False,0.5973333333333334,0.31141882808549476,0.4666666666666666,0.22883597883597884,0.4666666666666666,0.289390142021721,
DLG3,C,603,30,8,19,preferential_attachment,5,True,0.459741458910434,0.16793193842260581,0.20000000000000004,0.16666666666666666,0.7017543859649122,0.24603174603174602,
DLG3,C,603,30,8,19,l3,5,True,0.44035087719298244,0.16666666666666666,0.09999999999999999,0.16666666666666666,1.0,0.2857142857142857,
DLG3,C,603,30,8,19,katz,5,True,0.42280701754385963,0.16666666666666666,0.03333333333333333,0.16666666666666666,1.0,0.2857142857142857,
DLG3,C,603,30,8,19,ppr,5,True,0.6109879963065559,0.20237268241144105,0.0,0.16666666666666666,1.0,0.2857142857142857,
DLG3,C,603,30,8,19,RandomForest,5,True,0.4368421052631579,0.16666666666666666,0.0,0.16666666666666666,1.0,0.2857142857142857,
DLG3,C,603,30,8,19,RUSBoost,5,True,0.24561403508771928,0.16666666666666666,0.0,0.0,0.0,0.0,
DLG3,C,603,30,8,19,LightGBM,5,True,0.4224376731301939,0.18631273843876572,0.13333333333333333,0.11060964252453614,0.5614035087719298,0.18479076046197687,
DLG3,C,603,30,8,19,Node2Vec+MLP,5,True,0.4439519852262235,0.14863339295150327,0.0,0.12759330183423048,0.1929824561403509,0.1592012288786482,
DLG4,A,415,21,5,6,preferential_attachment,5,False,0.3462962962962963,0.1690863663085885,0.0,0.04183006535947712,0.1111111111111111,0.06073153899240855,
DLG4,A,415,21,5,6,l3,5,False,0.4444444444444444,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG4,A,415,21,5,6,katz,5,False,0.43333333333333335,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG4,A,415,21,5,6,ppr,5,False,0.23796296296296296,0.12186616247007136,0.0,0.015873015873015872,0.05555555555555555,0.024691358024691357,
DLG4,A,415,21,5,6,RandomForest,5,False,0.3712962962962963,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.3888888888888889,0.1693121693121693,
DLG4,A,415,21,5,6,RUSBoost,5,False,0.30185185185185187,0.15176027676027679,0.4444444444444444,0.13333333333333333,0.7777777777777777,0.22751322751322753,
DLG4,A,415,21,5,6,LightGBM,5,False,0.19537037037037033,0.14823833573833575,0.0,0.0196078431372549,0.05555555555555555,0.028985507246376812,
