graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k
DLG5,low_job_connectivity,67,20,True,3,0.5017647058823529,0.4956866977014119,0.4117647058823529,0.4117647058823529,0.4117647058823529
DLG5,RandomForest,67,20,True,3,0.851764705882353,0.7048050514765005,0.5882352941176471,0.5882352941176471,0.5882352941176471
DLG5,RUSBoost,67,20,True,3,0.6764705882352942,0.5171202809482002,0.5294117647058824,0.5294117647058824,0.5294117647058824
DLG5,LightGBM,67,20,True,3,0.8170731707317075,0.7294414297710013,0.5882352941176471,0.5882352941176471,0.5882352941176471
DLG6,degree_anomaly,585,202,True,3,0.4553097700841417,0.3038693619627787,0.30319148936170215,0.30319148936170215,0.30319148936170215
DLG6,boundary,585,202,True,3,0.6454450275314737,0.556198570488507,0.42574257425742573,0.42574257425742573,0.42574257425742573
DLG6,low_job_connectivity,585,202,True,3,0.5570534860274539,0.5382834261578786,0.41089108910891087,0.41089108910891087,0.41089108910891087
DLG6,RandomForest,585,202,True,3,0.7902502391231291,0.7536468621554885,0.6276595744680851,0.6276595744680851,0.6276595744680851
DLG6,RUSBoost,585,202,True,3,0.655940594059406,0.5494880257256495,0.4603960396039604,0.4603960396039604,0.4603960396039604
DLG6,LightGBM,585,202,True,3,0.7844143422175116,0.7628258067938409,0.6534653465346535,0.6534653465346535,0.6534653465346535
DLG7,degree_anomaly,30,5,True,3,0.592,0.47857142857142854,0.6,0.6,0.6
DLG7,boundary,30,5,True,3,0.648,0.49733333333333335,0.4,0.4,0.4
DLG7,low_job_connectivity,30,5,True,3,0.636,0.49733333333333335,0.4,0.4,0.4
DLG7,RandomForest,30,5,True,3,0.768,0.5566666666666666,0.6,0.6,0.6
DLG7,RUSBoost,30,5,True,3,0.7,0.5,0.4,0.4,0.4
DLG7,LightGBM,30,5,True,3,0.696,0.5497243107769423,0.4,0.4,0.4
DLG8,degree_anomaly,19,6,False,3,0.4345238095238094,0.34471568531718905,0.2857142857142857,0.2857142857142857,0.2857142857142857
DLG8,boundary,19,6,False,3,0.6607142857142857,0.7213345864661653,0.5714285714285714,0.5714285714285714,0.5714285714285714
DLG8,low_job_connectivity,19,6,False,3,0.6607142857142857,0.7226996061582527,0.5714285714285714,0.5714285714285714,0.5714285714285714
DLG8,RandomForest,19,6,False,3,0.9375,0.8390433096315449,0.7142857142857143,0.7142857142857143,0.7142857142857143
DLG8,RUSBoost,19,6,False,3,0.7857142857142857,0.7293233082706767,0.625,0.625,0.625
DLG8,LightGBM,19,6,False,3,0.9375,0.869130869130869,0.7142857142857143,0.7142857142857143,0.7142857142857143
DLG9,degree_anomaly,28,9,True,3,0.38055555555555554,0.3063711243762395,0.1,0.1,0.1
DLG9,boundary,28,9,True,3,0.5388888888888889,0.5288819875776398,0.4,0.4,0.4
DLG9,low_job_connectivity,28,9,True,3,0.6000000000000001,0.5523541760383865,0.3,0.3,0.3
DLG9,RandomForest,28,9,True,3,0.7277777777777779,0.6801477507999247,0.6,0.6,0.6
DLG9,RUSBoost,28,9,True,3,0.6777777777777778,0.5704968944099379,0.5,0.5,0.5
DLG9,LightGBM,28,9,True,3,0.7111111111111111,0.6597295321637426,0.6,0.6,0.6
DLG10,degree_anomaly,215,71,True,3,0.4243881118881118,0.2890767613937869,0.3055555555555556,0.3055555555555556,0.3055555555555556
DLG10,boundary,215,71,True,3,0.5692987567987569,0.46569835801101944,0.4305555555555556,0.4305555555555556,0.4305555555555556
DLG10,low_job_connectivity,215,71,True,3,0.5253010878010878,0.46131274687057877,0.4027777777777778,0.4027777777777778,0.4027777777777778
DLG10,RandomForest,215,71,True,3,0.8617320974191203,0.8200945037655181,0.7380952380952381,0.7380952380952381,0.7380952380952381
DLG10,RUSBoost,215,71,True,3,0.6041666666666666,0.4734496124031008,0.4583333333333333,0.4583333333333333,0.4583333333333333
DLG10,LightGBM,215,71,True,3,0.8265176299527445,0.8115642940634018,0.7261904761904762,0.7261904761904762,0.7261904761904762
DLG11,degree_anomaly,73,20,True,3,0.5172413793103448,0.3227100094274565,0.2916666666666667,0.2916666666666667,0.2916666666666667
DLG11,boundary,73,20,True,3,0.8031462585034014,0.7498097412480974,0.7083333333333334,0.7083333333333334,0.7083333333333334
DLG11,low_job_connectivity,73,20,True,3,0.7653061224489797,0.7469508634442372,0.7083333333333334,0.7083333333333334,0.7083333333333334
DLG11,RandomForest,73,20,True,3,0.9330434782608696,0.907240737291493,0.8260869565217391,0.8260869565217391,0.8260869565217391
DLG11,RUSBoost,73,20,True,3,0.8125,0.7482876712328768,0.75,0.75,0.75
DLG11,LightGBM,73,20,True,3,0.9391304347826087,0.9290686274509804,0.8260869565217391,0.8260869565217391,0.8260869565217391
DLG12,degree_anomaly,202,61,True,3,0.37928504735227425,0.24946244717082441,0.24489795918367346,0.24489795918367346,0.24489795918367346
