graph,algorithm,n_candidates,n_infected,external,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG16,LineageDetector,228,96,False,True,20,0.6405652929578164,0.5736357294581163,0.5552940976899096,0.5552940976899096,0.5552940976899096,0.2526540544648025
DLG18,degree_anomaly,556,237,False,True,20,0.4309998843350095,0.3858306963914849,0.3829259267981569,0.3829259267981569,0.3829259267981569,0.387314498769268
DLG18,boundary,556,237,False,True,20,0.5084871682483705,0.4340477156469096,0.44307471292006356,0.44307471292006356,0.44307471292006356,0.5302749810405827
DLG18,low_job_connectivity,556,237,False,True,20,0.40437488150608086,0.384366261548726,0.38171874954362134,0.38171874954362134,0.38171874954362134,0.2867923940387672
DLG18,completeness,556,237,False,True,20,0.5640431844612739,0.48898869506926945,0.4880695438728856,0.4880695438728856,0.4880695438728856,0.3749676937821869
DLG18,rule_root,556,237,False,True,20,0.5752416293215218,0.4726142022631369,0.5060144563537468,0.5060144563537468,0.5060144563537468,0.43384211047884275
DLG18,RandomForest,556,237,False,True,20,0.6029744778774684,0.5530390614201592,0.5154631378944251,0.5154631378944251,0.5154631378944251,0.27852900979197615
DLG18,RUSBoost,556,237,False,True,20,0.5815968024335966,0.4958206361573711,0.4983375931145859,0.4983375931145859,0.4983375931145859,0.2913337847730336
DLG18,LightGBM,556,237,False,True,20,0.595841059364103,0.5529369323823768,0.5161839017303064,0.5161839017303064,0.5161839017303064,0.31745400406844765
DLG18,LineageDetector,556,237,False,True,20,0.6112979440257171,0.5616802390748986,0.5254355850896804,0.5254355850896804,0.5254355850896804,0.25719764401323525
DUT,degree_anomaly,19,4,True,False,20,0.7513185888185888,0.4222629222629222,0.4363756613756614,0.4363756613756614,0.4363756613756614,0.18008706102096875
DUT,boundary,19,4,True,False,20,0.7112151737151738,0.38582713582713585,0.3808201058201058,0.3808201058201058,0.3808201058201058,0.4257044094440895
DUT,low_job_connectivity,19,4,True,False,20,0.7513185888185888,0.4222629222629222,0.4363756613756614,0.4363756613756614,0.4363756613756614,0.19815425967333
DUT,completeness,19,4,True,False,20,0.5,0.2619121962775213,0.1894179894179894,0.1894179894179894,0.1894179894179894,0.2619121962775213
DUT,rule_root,19,4,True,False,20,0.6110079735079734,0.3473728216482775,0.360978835978836,0.360978835978836,0.360978835978836,0.3706480672940941
DUT,RandomForest,19,4,True,False,20,0.6252345648178982,0.49720113706955815,0.38029100529100535,0.38029100529100535,0.38029100529100535,0.2251948387145042
DUT,RUSBoost,19,4,True,False,20,0.48888888888888893,0.26028312359581707,0.14126984126984127,0.14126984126984127,0.14126984126984127,0.2155195686550958
DUT,LightGBM,19,4,True,False,20,0.6738036654703321,0.5642694172219885,0.4636243386243386,0.4636243386243386,0.4636243386243386,0.29551918792148507
DUT,LineageDetector,19,4,True,False,20,0.6405555093055093,0.5212639446037278,0.4391534391534392,0.4391534391534392,0.4391534391534392,0.1868492377872781
