graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k
DLG9,LightGBM,24,6,False,3,0.675,0.3630952380952381,0.2857142857142857,0.2857142857142857,0.2857142857142857
DLG10,degree_anomaly,200,53,True,3,0.378599169679925,0.23903980593811847,0.24561403508771928,0.24561403508771928,0.24561403508771928
DLG10,boundary,200,53,True,3,0.44817195660907994,0.26834946561806816,0.22807017543859648,0.22807017543859648,0.22807017543859648
DLG10,low_job_connectivity,200,53,True,3,0.34759608946029197,0.2456621197979238,0.22807017543859648,0.22807017543859648,0.22807017543859648
DLG10,RandomForest,200,53,True,3,0.7941609749564752,0.593929130657409,0.5964912280701754,0.5964912280701754,0.5964912280701754
DLG10,RUSBoost,200,53,True,3,0.585040846390786,0.33755530129672007,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG10,LightGBM,200,53,True,3,0.7566626489888844,0.6249106980221201,0.5964912280701754,0.5964912280701754,0.5964912280701754
DLG11,degree_anomaly,58,7,True,3,0.47,0.11450524541427928,0.0,0.0,0.0
DLG11,boundary,58,7,True,3,0.4750566893424036,0.11764705882352941,0.16666666666666666,0.16666666666666666,0.16666666666666666
DLG11,low_job_connectivity,58,7,True,3,0.37414965986394555,0.09097967250141163,0.16666666666666666,0.16666666666666666,0.16666666666666666
DLG11,RandomForest,58,7,True,3,0.81859410430839,0.4727598073186309,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG11,RUSBoost,58,7,True,3,0.6566666666666666,0.35344827586206895,0.5,0.5,0.5
DLG11,LightGBM,58,7,True,3,0.7233560090702947,0.5296049467102099,0.4444444444444444,0.4444444444444444,0.4444444444444444
DLG12,degree_anomaly,185,39,True,3,0.3957922419460881,0.2253419739445641,0.21153846153846154,0.21153846153846154,0.21153846153846154
DLG12,boundary,185,39,True,3,0.4345383986928104,0.17033669614314775,0.125,0.125,0.125
DLG12,low_job_connectivity,185,39,True,3,0.4184027777777778,0.1653521577660545,0.22857142857142856,0.22857142857142856,0.22857142857142856
DLG12,RandomForest,185,39,True,3,0.7741013071895425,0.50515818252777,0.4857142857142857,0.4857142857142857,0.4857142857142857
DLG12,RUSBoost,185,39,True,3,0.5865657521286659,0.24022870797064344,0.34375,0.34375,0.34375
DLG12,LightGBM,185,39,True,3,0.8231209150326798,0.4521436385535251,0.4857142857142857,0.4857142857142857,0.4857142857142857
DLG13,degree_anomaly,90,22,True,3,0.5355417529330573,0.30085987789093244,0.23809523809523808,0.23809523809523808,0.23809523809523808
DLG13,boundary,90,22,True,3,0.45755693581780543,0.22186117527306892,0.14285714285714285,0.14285714285714285,0.14285714285714285
DLG13,low_job_connectivity,90,22,True,3,0.21221532091097303,0.157780288314437,0.09523809523809523,0.09523809523809523,0.09523809523809523
DLG13,RandomForest,90,22,True,3,0.7491428571428571,0.5816751563066345,0.5238095238095238,0.5238095238095238,0.5238095238095238
DLG13,RUSBoost,90,22,True,3,0.6593137254901961,0.44897003745318353,0.42857142857142855,0.42857142857142855,0.42857142857142855
DLG13,LightGBM,90,22,True,3,0.7195378151260504,0.5258340322442441,0.38095238095238093,0.38095238095238093,0.38095238095238093
DLG14,degree_anomaly,9,1,False,3,0.0,0.05555555555555555,0.0,0.0,0.0
DLG14,boundary,9,1,False,3,0.0,0.05555555555555555,0.0,0.0,0.0
DLG14,low_job_connectivity,9,1,False,3,0.0,0.05555555555555555,0.0,0.0,0.0
DLG14,RandomForest,9,1,False,3,0.8823529411764706,0.3333333333333333,0.0,0.0,0.0
DLG14,RUSBoost,9,1,False,3,0.5,0.05555555555555555,0.0,0.0,0.0
DLG14,LightGBM,9,1,False,3,0.8235294117647058,0.25,0.0,0.0,0.0
DLG15,degree_anomaly,23,3,False,3,0.380952380952381,0.10873015873015873,0.0,0.0,0.0
DLG15,boundary,23,3,False,3,0.35714285714285715,0.10227272727272728,0.0,0.0,0.0
DLG15,low_job_connectivity,23,3,False,3,0.3214285714285714,0.09026001705029839,0.0,0.0,0.0
DLG15,RandomForest,23,3,False,3,0.7280701754385965,0.5833333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG15,RUSBoost,23,3,False,3,0.6666666666666666,0.3666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG15,LightGBM,23,3,False,3,0.8947368421052632,0.7787397787397787,0.5,0.5,0.5
DLG16,degree_anomaly,236,74,True,3,0.4595744680851064,0.31831947385428244,0.3194444444444444,0.3194444444444444,0.3194444444444444
DLG16,boundary,236,74,True,3,0.5266166040884439,0.32405200886324675,0.4235294117647059,0.4235294117647059,0.4235294117647059
